repo,stars,releases,idade_anos,cbo,dit,lcom,loc,locComment
LuckSiege/PictureSelector,13541,30,8.71,5.156037991858887,1.237449118046133,49.44911804613297,53.05698778833107,0
luckybilly/CC,4045,0,7.82,4.966666666666667,1.2583333333333333,16.316666666666666,38.325,0
lugg/react-native-config,4922,30,9.58,4.565217391304348,1.391304347826087,1.9565217391304348,18.608695652173914,0
lukas-krecan/ShedLock,3972,0,8.78,5.918158567774936,2.1892583120204603,7.319693094629156,28.964194373401533,0
luontola/retrolambda,3531,0,12.18,2.408333333333333,1.4125,9.004166666666666,20.2,0
LWJGL/lwjgl3,5127,21,12.75,6.76233635448137,2.376334340382679,970.6362537764351,109.43464249748237,0
lygttpod/SuperTextView,3772,30,8.92,3.046511627906977,1.1627906976744187,141.67441860465115,46.53488372093023,0
M66B/FairEmail,3884,30,7.13,4.727101483400047,1.2707793736755357,33.457028490699315,57.31763597833765,0
macrozheng/mall-learning,13260,0,6.44,4.971887550200803,1.104417670682731,229.51004016064257,57.76706827309237,0
macrozheng/mall-swarm,12613,3,5.82,3.787958115183246,1.2316753926701571,1106.2290575916231,132.98821989528795,0
macrozheng/mall,81610,3,7.47,3.9263157894736844,1.2394736842105263,1110.803947368421,132.7671052631579,0
macrozheng/springcloud-learning,6838,0,6.04,4.884444444444444,1.0222222222222221,85.87555555555555,25.026666666666667,0
makovkastar/FloatingActionButton,3992,0,11.17,5.666666666666667,1.8148148148148149,37.592592592592595,37.55555555555556,0
Manabu-GT/ExpandableTextView,4084,4,11.35,5.133333333333334,1.7333333333333334,11.8,36.8,0
mapstruct/mapstruct,7503,30,13.32,3.824989116238572,1.1689159773617763,10.468437091858947,21.011754462342186,0
markzhai/AndroidPerformanceMonitor,6724,0,9.68,4.074074074074074,1.2777777777777777,14.074074074074074,41.370370370370374,0
material-components/material-components-android,16954,30,8.79,7.130519165453664,1.5376031052886947,92.01989325570112,55.67782629791363,0
mbechler/marshalsec,3592,0,8.33,7.291666666666667,1.8194444444444444,14.583333333333334,30.75,0
